wordform	from_sense_id	to_sense_id	label
78	78%1:23:00::	78%1:06:00::	metonymy
aba	aba%1:06:01::	aba%1:06:00::	metonymy
abandon	abandon%1:07:00::	abandon%1:12:00::	metaphor
abbey	abbey%1:06:02::	abbey%1:06:01::	metonymy
abbey	abbey%1:06:02::	abbey%1:06:00::	metonymy
abdication	abdication%1:10:01::	abdication%1:10:00::	metonymy
abdomen	abdomen%1:08:00::	abdomen%1:08:01::	metonymy
aberration	aberration%1:26:01::	aberration%1:26:00::	metonymy
aberration	aberration%1:26:01::	aberration%1:19:00::	metonymy
ablation	ablation%1:04:00::	ablation%1:22:00::	metaphor
abnormality	abnormality%1:07:00::	abnormality%1:26:00::	metaphor
abnormality	abnormality%1:07:00::	abnormality%1:09:01::	metaphor
abnormality	abnormality%1:07:00::	abnormality%1:04:00::	metonymy
abortion	abortion%1:04:00::	abortion%1:11:00::	metaphor
absence	absence%1:26:00::	absence%1:04:00::	metonymy
absence	absence%1:26:00::	absence%1:28:00::	metonymy
absence	absence%1:26:00::	absence%1:26:01::	metaphor
absinthe	absinthe%1:13:00::	absinthe%1:20:00::	metonymy
absolutism	absolutism%1:14:00::	absolutism%1:26:00::	metaphor
absolutism	absolutism%1:14:00::	absolutism%1:09:01::	metonymy
absorption	absorption%1:22:00::	absorption%1:22:02::	metaphor
absorption	absorption%1:22:00::	absorption%1:22:03::	metaphor
absorption	absorption%1:22:00::	absorption%1:22:01::	metaphor
absorption	absorption%1:22:00::	absorption%1:09:01::	metaphor
absorption	absorption%1:22:00::	absorption%1:09:00::	metaphor
abstraction	abstraction%1:03:00::	abstraction%1:09:00::	metaphor
abstraction	abstraction%1:09:02::	abstraction%1:04:00::	metaphor
abstraction	abstraction%1:09:00::	abstraction%1:06:00::	metaphor
abstraction	abstraction%1:04:00::	abstraction%1:09:01::	metonymy
abstraction	abstraction%1:09:02::	abstraction%1:03:00::	metonymy
abundance	abundance%V1	abundance%1:24:01::	metaphor
abundance	abundance%V1	abundance%1:24:00::	metaphor
abundance	abundance%1:07:00::	abundance%V1	metonymy
abuse	abuse%1:04:02::	abuse%1:10:00::	metaphor
abuse	abuse%1:04:02::	abuse%1:04:01::	metaphor
abutment	abutment%1:06:00::	abutment%1:15:00::	metonymy
academy	academy%1:14:01::	academy%1:14:00::	metaphor
academy	academy%1:06:00::	academy%1:14:02::	metaphor
academy	academy%1:14:01::	academy%1:06:00::	metaphor
accelerator	accelerator%1:06:02::	accelerator%1:06:00::	metonymy
accelerator	accelerator%1:06:02::	accelerator%1:27:00::	metaphor
accelerator	accelerator%1:06:02::	accelerator%1:06:01::	metaphor
accent	accent%1:10:03::	accent%1:10:01::	metaphor
accent	accent%1:10:03::	accent%1:26:00::	metaphor
accent	accent%1:10:03::	accent%1:10:00::	metaphor
accent	accent%1:10:03::	accent%1:10:02::	metonymy
acceptance	acceptance%1:04:00::	acceptance%1:09:00::	metonymy
acceptance	acceptance%1:04:00::	acceptance%1:26:00::	metonymy
acceptance	acceptance%1:04:00::	acceptance%1:10:01::	metonymy
acceptance	acceptance%1:04:00::	acceptance%1:21:00::	metonymy
acceptance	acceptance%1:09:00::	acceptance%1:07:00::	metaphor
acceptance	acceptance%1:04:00::	acceptance%1:04:03::	metaphor
access	access%1:04:00::	access%1:07:00::	metonymy
access	access%1:07:00::	access%1:07:01::	metaphor
access	access%1:04:00::	access%1:06:00::	metonymy
access	access%1:04:00::	access%1:10:00::	metonymy
access	access%1:04:00::	access%1:06:01::	metaphor
accession	accession%1:04:03::	accession%1:22:00::	metaphor
accession	accession%1:07:00::	accession%1:21:01::	metaphor
accession	accession%1:04:03::	accession%1:21:00::	metonymy
accession	accession%1:07:00::	accession%1:10:02::	metaphor
accession	accession%1:04:03::	accession%1:07:00::	metonymy
accessory	accessory%1:06:01::	accessory%1:06:00::	metaphor
accessory	accessory%1:06:01::	accessory%1:18:00::	metaphor
accident	accident%1:11:01::	accident%1:11:00::	metaphor
accommodation	accommodation%1:06:00::	accommodation%1:11:00::	metaphor
accommodation	accommodation%1:06:00::	accommodation%1:10:02::	metaphor
accommodation	accommodation%1:11:00::	accommodation%1:09:00::	metaphor
accommodation	accommodation%1:06:00::	accommodation%1:04:00::	metaphor
accommodation	accommodation%1:06:00::	accommodation%1:04:01::	metaphor
accompaniment	accompaniment%1:10:00::	accompaniment%1:11:00::	metaphor
accompaniment	accompaniment%1:10:00::	accompaniment%1:07:00::	metaphor
accompaniment	accompaniment%1:10:00::	accompaniment%1:04:00::	metonymy
accord	accord%1:10:00::	accord%1:26:00::	metonymy
accord	accord%1:10:00::	accord%1:10:01::	metonymy
accord	accord%1:10:00::	accord%1:07:00::	metonymy
account	account%1:10:05::	account%1:10:00::	metaphor
account	account%1:10:05::	account%1:10:03::	metaphor
account	account%1:21:02::	account%1:26:00::	metonymy
account	account%1:10:05::	account%1:10:04::	metaphor
account	account%1:10:04::	account%1:16:00::	metonymy
account	account%1:21:02::	account%1:07:01::	metonymy
account	account%1:21:02::	account%1:10:05::	metaphor
account	account%1:21:02::	account%1:10:02::	metaphor
account	account%1:07:01::	account%1:07:00::	metaphor
accounting	accounting%1:21:00::	accounting%1:10:00::	metaphor
accounting	accounting%1:04:00::	accounting%1:09:00::	metonymy
accounting	accounting%1:21:00::	accounting%1:21:01::	metaphor
accounting	accounting%1:04:00::	accounting%1:21:00::	metonymy
accretion	accretion%1:22:00::	accretion%1:23:00::	metonymy
accretion	accretion%1:22:00::	accretion%1:22:03::	metonymy
accretion	accretion%1:22:00::	accretion%1:22:02::	metonymy
accretion	accretion%1:22:00::	accretion%1:22:01::	metonymy
accretion	accretion%1:22:00::	accretion%1:21:00::	metonymy
accumulation	accumulation%1:04:00::	accumulation%1:22:00::	metonymy
accumulation	accumulation%1:04:00::	accumulation%1:14:00::	metonymy
accumulation	accumulation%1:14:00::	accumulation%1:21:00::	metaphor
accumulator	accumulator%1:06:00::	accumulator%1:18:00::	metaphor
accumulator	accumulator%1:06:00::	accumulator%1:06:01::	metaphor
accuracy	accuracy%1:07:02::	accuracy%1:07:03::	metaphor
ace	ace%1:06:00::	ace%1:23:00::	metaphor
ace	ace%1:06:00::	ace%1:18:00::	metaphor
ace	ace%V1	ace%1:04:00::	metonymy
ace	ace%1:06:00::	ace%V1	metonymy
acetate	acetate%1:27:00::	acetate%1:06:00::	metonymy
acid	acid%1:27:00::	acid%1:06:00::	metonymy
acknowledgement	acknowledgement%1:10:00::	acknowledgement%1:26:00::	metonymy
acme	acme%1:15:00::	acme%1:26:00::	metaphor
acquaintance	acquaintance%1:18:00::	acquaintance%1:09:00::	metonymy
acquaintance	acquaintance%1:18:00::	acquaintance%1:26:00::	metonymy
acquirer	acquirer%1:18:00::	acquirer%1:14:00::	metaphor
acquirer	acquirer%1:14:01::	acquirer%1:14:02::	metonymy
acquisition	acquisition%1:04:00::	acquisition%1:21:00::	metonymy
acquisition	acquisition%1:04:00::	acquisition%1:09:01::	metaphor
acquisition	acquisition%1:09:01::	acquisition%1:09:00::	metonymy
acrylic	acrylic%1:27:01::	acrylic%1:27:00::	metaphor
acrylic	acrylic%1:27:01::	acrylic%1:06:01::	metaphor
acrylic	acrylic%1:27:01::	acrylic%1:06:00::	metonymy
act	act%1:03:00::	act%1:10:01::	metaphor
act	act%1:10:02::	act%1:10:00::	metonymy
act	act%1:10:03::	act%1:10:02::	metonymy
act	act%1:03:00::	act%1:10:03::	metaphor
action	action%1:04:02::	action%1:26:00::	metonymy
action	action%1:04:02::	action%1:04:03::	metonymy
action	action%1:04:02::	action%1:22:00::	metonymy
action	action%1:04:02::	action%1:10:00::	metonymy
action	action%1:26:00::	action%1:07:00::	metonymy
action	action%1:04:02::	action%1:06:00::	metonymy
action	action%1:04:02::	action%1:04:01::	metonymy
action	action%1:04:02::	action%1:04:04::	metonymy
action	action%1:26:00::	action%1:04:00::	metonymy
activity	activity%1:04:00::	activity%1:26:00::	metonymy
activity	activity%1:04:00::	activity%1:22:00::	metaphor
activity	activity%1:07:00::	activity%1:26:01::	metaphor
activity	activity%1:04:00::	activity%1:22:01::	metaphor
activity	activity%1:26:00::	activity%1:07:00::	metonymy
acumen	acumen%1:09:00::	acumen%1:20:00::	metaphor
adagio	adagio%1:10:00::	adagio%1:04:00::	metaphor
addiction	addiction%1:26:00::	addiction%1:12:00::	metonymy
addition	addition%1:21:00::	addition%1:06:00::	metonymy
addition	addition%1:21:00::	addition%1:04:02::	metonymy
addition	addition%1:21:00::	addition%1:23:00::	metonymy
addition	addition%1:21:00::	addition%1:15:00::	metonymy
addition	addition%1:21:00::	addition%1:04:01::	metonymy
address	address%1:10:02::	address%1:10:04::	metaphor
address	address%1:10:00::	address%1:10:03::	metonymy
address	address%1:10:02::	address%1:10:01::	metaphor
address	address%1:15:00::	address%1:10:02::	metonymy
address	address%1:10:03::	address%1:07:01::	metaphor
address	address%1:10:00::	address%1:07:00::	metonymy
adequacy	adequacy%1:07:01::	adequacy%1:07:00::	metonymy
adhesion	adhesion%1:07:00::	adhesion%1:26:00::	metaphor
adhesion	adhesion%1:07:00::	adhesion%1:08:00::	metaphor
adhesion	adhesion%1:07:00::	adhesion%1:04:00::	metaphor
adjective	adjective%1:10:00::	adjective%1:10:01::	metonymy
adjustment	adjustment%1:04:01::	adjustment%1:11:00::	metaphor
adjustment	adjustment%1:04:01::	adjustment%1:04:00::	metaphor
adjustment	adjustment%1:04:01::	adjustment%1:22:00::	metaphor
adjustment	adjustment%1:04:01::	adjustment%1:21:00::	metonymy
administration	administration%1:04:04::	administration%1:04:00::	metonymy
administration	administration%1:04:04::	administration%1:14:00::	metonymy
administration	administration%1:04:04::	administration%1:28:00::	metonymy
administration	administration%1:04:04::	administration%1:04:02::	metonymy
admiral	admiral%1:18:00::	admiral%1:05:00::	metaphor
admiralty	admiralty%1:04:00::	admiralty%1:14:00::	metonymy
admission	admission%1:04:00::	admission%1:10:00::	metaphor
admission	admission%1:04:00::	admission%1:21:00::	metonymy
admission	admission%1:04:00::	admission%1:07:00::	metonymy
admixture	admixture%1:06:00::	admixture%1:26:00::	metonymy
admixture	admixture%1:06:00::	admixture%1:04:00::	metonymy
adobe	adobe%1:06:00::	adobe%1:27:00::	metonymy
adonis	adonis%1:18:00::	adonis%1:18:01::	metaphor
